文章标题,文章链接,发布时间,是否原创,阅读数,点赞数,分享数,收藏数,评论数,点赞率,在看率,合集名称,合集类型,抓取时间
"""望闻问切""四招，轻松辨别植物需水",https://mp.weixin.qq.com/s/JNXeKSNCzls_2LWP_5WJXw,2025年12月31日,否,13,2,2,2,0,15.38%,15.38%,知识分享,图文,2026-02-05T11:59:56.424Z
"你买回家的不是""永久花""，是时间的胶囊",https://mp.weixin.qq.com/s/AvdIcx7yuGvgUeQGkUn3DQ,2025年12月30日,否,53,2,2,2,0,3.77%,3.77%,知识分享,图文,2026-02-05T11:59:56.424Z
"不是冻死，是""热""死？北方室内养花的 5 个隐形杀手",https://mp.weixin.qq.com/s/4raJot6ETAeEyDS7aCPPXQ,2025年12月29日,是,20,2,2,3,0,10.00%,10.00%,养护技巧,文章,2026-02-05T11:59:56.424Z
"家里光照不好，植物总养死？可能是你误解了""耐阴""",https://mp.weixin.qq.com/s/ixZ49jw_kdHs3uYHtSBkEQ,2025年12月28日,是,32,5,5,4,0,15.62%,15.62%,养护技巧,文章,2026-02-05T11:59:56.425Z
慢养四季：新手植愈系养护指南,https://mp.weixin.qq.com/s/1BHu6dKmjTz1QIwLNg3u0g,2025年12月26日,否,83,2,2,4,0,2.41%,2.41%,知识分享,图文,2026-02-05T11:59:56.425Z
慢养四季 | 大棚动工，都市绿洲正在成长,https://mp.weixin.qq.com/s/L8Hu-GjVoR_3y4JrB9fN1g,2025年09月10日,是,53,3,2,2,0,5.66%,3.77%,城市绿洲,文章,2026-02-05T11:59:56.425Z
慢养四季：在城市中心种下一片节气花园,https://mp.weixin.qq.com/s/mb8WUbU0REVDr4BrThsFHA,2025年08月24日,是,49,4,3,4,0,8.16%,6.12%,城市绿洲,文章,2026-02-05T11:59:56.425Z
"花儿也要""避暑""！5个简单实用的栀子花夏日养护技巧，快学起来",https://mp.weixin.qq.com/s/gHs_83FJKedbZnTTf0m5Iw,2025年04月23日,是,65,3,2,3,0,4.62%,3.08%,养护技巧,文章,2026-02-05T12:52:43.726Z
手把手教你修剪龟背竹气生根，三招打造茁壮植株，新手也能轻松上手！,https://mp.weixin.qq.com/s/r0YKBDolEk1BVrfzQZDtmA,2025年04月17日,是,416,3,5,3,0,0.72%,1.20%,修剪整形,文章,2026-02-05T12:52:43.726Z
高温来袭，多肉植物如何施肥？掌握这三个关键点,https://mp.weixin.qq.com/s/nRuYIiRiE0pkc9XdKQveqA,2025年04月10日,是,18,2,2,2,0,11.11%,11.11%,养护技巧,文章,2026-02-05T12:52:43.726Z
梅雨季虎皮兰烂根怎么办？4个控水秘诀让你轻松应对！,https://mp.weixin.qq.com/s/NA6v7eHrdBpFbKnd2CzqpQ,2025年04月09日,是,25,3,2,3,0,12.00%,8.00%,养护技巧,文章,2026-02-05T12:52:43.726Z
紧急救援｜你家鸿运当头的这些求救信号你看懂了吗？,https://mp.weixin.qq.com/s/zmJugGFcLFxw7euhtcsEYg,2025年04月01日,是,286,6,5,5,1,2.10%,1.75%,养护技巧,文章,2026-02-05T12:52:43.726Z
超市萌物变干尸？揭秘网红植物盆栽的生存密码，拯救你的小绿植！,https://mp.weixin.qq.com/s/6J5hlNf8xkqq5STgJYK8ZQ,2025年03月31日,是,35,1,3,0,0,2.86%,8.57%,养护技巧,文章,2026-02-05T12:52:43.726Z
春季多肉养护秘籍：三大核心操作助你养出果冻色,https://mp.weixin.qq.com/s/HkQKbdCWwsyabXbTC28pcQ,2025年03月27日,是,47,7,6,6,6,14.89%,12.77%,养护技巧,文章,2026-02-05T12:52:43.726Z
"别再乱浇水了！这份""见干见湿""对照表，让你家植物多活10年！",https://mp.weixin.qq.com/s/sG05m1K-7E8hFt3oV_A1dg,2025年03月24日,是,47,3,7,3,0,6.38%,14.89%,养护技巧,文章,2026-02-05T12:52:43.726Z
"君子兰夹箭急救！2个动作7天抽箭开花！——拯救你的""卡脖花""，轻松解锁花箭！",https://mp.weixin.qq.com/s/sbVbK6spsL8lWjnicn9EnQ,2025年03月20日,是,188,2,10,2,0,1.06%,5.32%,养护技巧,文章,2026-02-05T12:52:43.726Z
养花杀手逆袭指南！你的24小时「植物急诊室」上线了！,https://mp.weixin.qq.com/s/A9DTqy2JCvI5KvSUE7-44Q,2025年03月14日,是,17,4,1,3,0,23.53%,5.88%,#智能园艺,文章,2026-02-05T12:52:43.726Z
